address,price,squarefootage,numbed,numbath,image-src,city,state,zipcode,population,MedianAge, MedianHouseholdIncome ,UnemploymentRate,PropertyCrimeIndex,PopulationGrowthRate,BachelorDegree,airquality,TotalHousingUnits,OwnerOccupiedHUs,Latitude,Longitude,Type,id
"5139 Western Tpke,","$259,900 ","1,646",4,2,https://photos.zillowstatic.com/cc_ft_960/ISbxvjdqoiekt21000000000.jpg,Altamont,NY,12009,"7,841",43,"$85,208 ",3.20%,20,-4.77%,875,37,"3,143","2,226",42.718573,-73.940552,Homes,1
"27 Cloverleaf Dr,","$130,000 ",2100,4,null,https://photos.zillowstatic.com/cc_ft_960/IS7ypg2lape0iu0000000000.jpg,Ballston Lake,NY,12009,"14,396",44,"$88,708 ",3.20%,17,11.81%,"2,370",33,"5,954","4,548",42.900134,-73.937255,Homes,2
"2965 N Mountain Ave,","$875,000 ","2,000",3,2,https://photos.zillowstatic.com/cc_ft_960/ISn2gshb4ljk8q1000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,226 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.123424,-117.72919,Homes,3
"429 W 11th St,","$1,080,000 ","2,568",4,3,https://ssl.cdn-redfin.com/photo/45/bigphoto/685/CV20161685_1_0.jpg,Claremont,CA,91711,"37,295",39,"$108,227 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.104624,-117.721162,Homes,4
"3816 Hollins Ave,","$2,999,500 ","4,740",3,5,https://photos.zillowstatic.com/cc_ft_960/ISvc1urwu7qm820000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,228 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.140343,-117.694636,Homes,5
"1081 Harding Ct,","$839,888 ","2,964",5,3,https://photos.zillowstatic.com/cc_ft_960/IS3bpd0bnpmh8d1000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,229 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.114272,-117.736392,Homes,6
"746 N Harvard Ave,","$998,000 ","1,420",2,2,https://photos.zillowstatic.com/cc_ft_960/ISvc1a0qz8vv0l0000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,230 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.101476,-117.716415,Homes,7
"918 Appalachian,","$1,498,000 ","4,502",5,5,https://ssl.cdn-redfin.com/photo/45/bigphoto/721/CV20207721_1_0.jpg,Claremont,CA,91711,"37,295",39,"$108,231 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.147055,-117.700392,Homes,8
"2177 W Silver Tree Rd,","$1,050,000 ","3,995",5,6,https://photos.zillowstatic.com/cc_ft_960/ISjvvwwd61hqxf0000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,232 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.123054,-117.730623,Homes,9
"767 Pomello Dr,","$2,137,799 ","5,094",6,5,https://photos.zillowstatic.com/cc_ft_960/IS33ne1gryq5wm1000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,233 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.13634,-117.704403,Homes,10
"3837 Shelter Grove Dr,","$722,294 ",1904,3,2,https://maps.googleapis.com/maps/api/streetview?location=3837+Shelter+Grove+Dr%2C+Claremont%2C+CA+91711&size=960x720&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&&signature=IdTiiaVCEyIV2BRbo3YFyenPH-8=,Claremont,CA,91711,"37,295",39,"$108,234 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.112405,-117.746604,Homes,11
"995 Harrison Ave,","$889,000 ","2,149",4,2,https://photos.zillowstatic.com/cc_ft_960/ISjr0u6uu3j2qj1000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,235 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.098823,-117.729853,Homes,12
"784 Via Los Andes St,","$1,395,000 ","3,735",4,4,https://ssl.cdn-redfin.com/photo/45/bigphoto/136/CV20145136_3_1.jpg,Claremont,CA,91711,"37,295",39,"$108,236 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.133906,-117.730427,Homes,13
"1507 Benedict Ave,","$844,900 ","2,273",4,4,https://photos.zillowstatic.com/cc_ft_960/ISnelwl1zx60771000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,237 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.111125,-117.70679,Homes,14
"1863 Oxford Ave,","$999,000 ","3,201",5,4,https://ssl.cdn-redfin.com/photo/45/bigphoto/851/TR20152851_2.jpg,Claremont,CA,91711,"37,295",39,"$108,238 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.11782,-117.724927,Homes,15
"2752 San Angelo Dr,","$1,475,000 ","3,246",5,4,https://photos.zillowstatic.com/cc_ft_960/ISzrbvkn2d9faq0000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,239 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.13239,-117.727406,Homes,16
"4509 Bowie,","$1,888,000 ","6,077",6,7,https://ssl.cdn-redfin.com/photo/40/bigphoto/310/20-591310_2_5.jpg,Claremont,CA,91711,"37,295",39,"$108,240 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.152264,-117.693467,Homes,17
"876 Peninsula Ave,","$1,898,000 ","4,534",4,4,https://photos.zillowstatic.com/cc_ft_960/ISvspfxvndlz0u1000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,241 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.139874,-117.700724,Homes,18
"656 Adirondack Ln,","$1,800,000 ","5,063",6,6,https://photos.zillowstatic.com/cc_ft_960/IS7ey9j97f32260000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,242 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.140649,-117.705615,Homes,19
"4669 Webb Canyon Rd,","$1,250,000 ","2,805",5,4,https://photos.zillowstatic.com/cc_ft_960/IS3v86jaz4i2ij0000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,243 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.126482,-117.742587,Homes,20
"915 Peninsula Ave,","$1,450,000 ","4,110",6,4,https://photos.zillowstatic.com/cc_ft_960/ISrlt66rlfwqqt1000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,244 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.141076,-117.700206,Homes,21
"4068 Padua Ave,","$2,125,000 ","5,300",5,5,https://photos.zillowstatic.com/cc_ft_960/ISfg9uycuukmv40000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,245 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.143,-117.698104,Homes,22
"777 Valparaiso Dr,","$1,418,000 ","3,615",6,5,https://photos.zillowstatic.com/cc_ft_960/ISzrv670bcz3ia0000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,246 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.130328,-117.72884,Homes,23
"325 W 6th St,","$678,000 ","1,238",2,1,https://photos.zillowstatic.com/cc_ft_960/ISrt38w2971bor1000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,246 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.099946,-117.719161,Homes,24
"156 E Blue Mountain Way,","$798,500 ","2,325",4,3,https://photos.zillowstatic.com/cc_ft_960/ISrtz8yt6lk7ll0000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,246 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.120716,-117.714771,Homes,25
